document	label
이미 시리즈에서 쿠키구워가며 완독에 완독을 거듭한 소설이예요. 이젠 웹소설에서 천천히 다시 읽어야겠어요 ^^	1
외, 외전이... 17화인 소설이라니.. 잘 봤어요!	1
"자까님 후에 다른 작품으로 뵐 수 있길 바랄게요..."""	1
자까님 후에 다른 작품으로 뵐 수 있길 바랄게요...	1
여주 오바?어디가요?	1
너무 좋은 글이었어요.	1
초반에 조금 답답힘은 있지만 재밌고 힐링되는 소설이예요	1
외전 더 보고 싶어요 ㅜㅜ	1
끝이라는 말을 보고 다시 가서 확인해보니 아직 남은 17화 외전도 길게 적어주셨군요 매일매일 다시 곱씹으며 보석같은 글 보고 느끼겠습니다	1
웹튠은... 혹시나??	1
이렇게 멋진 작품이 이대로 끝나다니...너무 아쉽습니다	1
웹튠과 드라마, 에니메이션화 강추합니다	1
진짜 누적을 기다리다가 못참고 다 읽었네요. 성하작가님 스타일의 잼나는 글입니다.	1
이야기가 몰입감이 있고, 스토리와 문체에 특별함이 있네요. 하이픈을 자주 사용하여 부연설명을 하다보니, 가독성이 떨어지고 부연설명이 많다고 느끼시는 분들이 있는 것 같아요. 굳이? 여기에서도? 부연설명을 해야할까... 라는 생각이 조금 들기는 합니다. 크게 거슬리는 부분은 아니지만, 지금의 절반만 쓰시면 더 좋을것 같다는 개인적인 의견입니다. 덕분에 좋은 글 읽고 있습니다.	1
이런 소설들은 너무 로맨스로 치중되거나, 아니면 사건 진행만 치중되서 재미를 잃게 되는데, 이 소설은 팽팽하게 양쪽의 밸런스를 잘 유지하는 것 같습니다. 설명이 많기는 그런 디테일한 설정들도 좋아하는 편이라 재미있게 읽었습니다.	1
무조건 읽으세요.	1
결국 결제해서 다봤습니다.	1
내용이 너무 산만해서 결국 결제 안했습니다.	0
결국.. 결제해서 다봤습니다..	1
웹소설 공짜로 안풀리나요	1
"""웹소설에 웹툰까지...."	1
"계속 흥하세요!!"""	1
웹툰 보다가 왔어요!!!!	1
웹툰화 축하드려요!!	1
책으로 나오면 좋겠어요ㅠㅠ	1
네이버는 허니허니웨딩 표절논란에 계속 모른척하고 빠지는건가요~~이게뭔가요~~~	0
사랑합니다ㅠㅠㅠㅠㅠㅠㅠ	1
꺄악!!! 책 수령했사옵니다 작가님~~~ 예판 이벤트 좋네요 일러스트북까지 주고♡	1
결국결제해서다본... ㅠ	1
일주일에 두번은...너무해요~ㅠㅡㅠ 화요일과 금요일 아침부터 클릭...	1
제발 책으로 내주세요	1
웹소설 공짜로 안풀리나요	1
결국.. 결제해서 다봤습니다..	1
웹툰 보다가 왔어요!!!!	1
웹툰화 축하드려요!!	1
웹툰 보고 온 사람???	1
